Datetime,power usage (MWh)
1/1/2013 1:00,60178
1/1/2013 2:00,57862
1/1/2013 3:00,56165
1/1/2013 4:00,55135
1/1/2013 5:00,54450
1/1/2013 6:00,54401
1/1/2013 7:00,54147
1/1/2013 8:00,52467
1/1/2013 9:00,50469
1/1/2013 10:00,49572
1/1/2013 11:00,50034
1/1/2013 12:00,50026
1/1/2013 13:00,49515
1/1/2013 14:00,49365
1/1/2013 15:00,49213
1/1/2013 16:00,49357
1/1/2013 17:00,50362
1/1/2013 18:00,53115
1/1/2013 19:00,55205
1/1/2013 20:00,55437
1/1/2013 21:00,55348
1/1/2013 22:00,55790
1/1/2013 23:00,58195
1/2/2013 0:00,59330
1/2/2013 1:00,57067
1/2/2013 2:00,55148
1/2/2013 3:00,53983
1/2/2013 4:00,53571
1/2/2013 5:00,54027
1/2/2013 6:00,55388
1/2/2013 7:00,57753
1/2/2013 8:00,60781
1/2/2013 9:00,66494
1/2/2013 10:00,70869
1/2/2013 11:00,72867
1/2/2013 12:00,73115
1/2/2013 13:00,69165
1/2/2013 14:00,71429
1/2/2013 15:00,72228
1/2/2013 16:00,71945
1/2/2013 17:00,72641
1/2/2013 18:00,73387
1/2/2013 19:00,72294
1/2/2013 20:00,69989
1/2/2013 21:00,67893
1/2/2013 22:00,66504
1/2/2013 23:00,67435
1/3/2013 0:00,69275
1/3/2013 1:00,66263
1/3/2013 2:00,64233
1/3/2013 3:00,63194
1/3/2013 4:00,62461
1/3/2013 5:00,62649
1/3/2013 6:00,63396
1/3/2013 7:00,65098
1/3/2013 8:00,67745
1/3/2013 9:00,72982
1/3/2013 10:00,75999
1/3/2013 11:00,76522
1/3/2013 12:00,76019
1/3/2013 13:00,72203
1/3/2013 14:00,74725
1/3/2013 15:00,75576
1/3/2013 16:00,75168
1/3/2013 17:00,75791
1/3/2013 18:00,75922
1/3/2013 19:00,75469
1/3/2013 20:00,73118
1/3/2013 21:00,70769
1/3/2013 22:00,68726
1/3/2013 23:00,69593
1/4/2013 0:00,71346
1/4/2013 1:00,68403
1/4/2013 2:00,66143
1/4/2013 3:00,65051
1/4/2013 4:00,64245
1/4/2013 5:00,64152
1/4/2013 6:00,64678
1/4/2013 7:00,66494
1/4/2013 8:00,68851
1/4/2013 9:00,73835
1/4/2013 10:00,76175
1/4/2013 11:00,76375
1/4/2013 12:00,75862
1/4/2013 13:00,72288
1/4/2013 14:00,74360
1/4/2013 15:00,74977
1/4/2013 16:00,74275
1/4/2013 17:00,74909
1/4/2013 18:00,75344
1/4/2013 19:00,74504
1/4/2013 20:00,71957
1/4/2013 21:00,69715
1/4/2013 22:00,68155
1/4/2013 23:00,68948
1/5/2013 0:00,70834
1/5/2013 1:00,68053
1/5/2013 2:00,65801
1/5/2013 3:00,64439
1/5/2013 4:00,63437
1/5/2013 5:00,63135
1/5/2013 6:00,63250
1/5/2013 7:00,63658
1/5/2013 8:00,63441
1/5/2013 9:00,65640
1/5/2013 10:00,66806
1/5/2013 11:00,68030
1/5/2013 12:00,67878
1/5/2013 13:00,64439
1/5/2013 14:00,64986
1/5/2013 15:00,64767
1/5/2013 16:00,63613
1/5/2013 17:00,63095
1/5/2013 18:00,63230
1/5/2013 19:00,64253
1/5/2013 20:00,63353
1/5/2013 21:00,62455
1/5/2013 22:00,62314
1/5/2013 23:00,64350
1/6/2013 0:00,66687
1/6/2013 1:00,64147
1/6/2013 2:00,62054
1/6/2013 3:00,60827
1/6/2013 4:00,59823
1/6/2013 5:00,59442
1/6/2013 6:00,59340
1/6/2013 7:00,59028
1/6/2013 8:00,57577
1/6/2013 9:00,56203
1/6/2013 10:00,55723
1/6/2013 11:00,56592
1/6/2013 12:00,56479
1/6/2013 13:00,55607
1/6/2013 14:00,55803
1/6/2013 15:00,55452
1/6/2013 16:00,55256
1/6/2013 17:00,56044
1/6/2013 18:00,58365
1/6/2013 19:00,60500
1/6/2013 20:00,60355
1/6/2013 21:00,60217
1/6/2013 22:00,60269
1/6/2013 23:00,62333
1/7/2013 0:00,63259
1/7/2013 1:00,60754
1/7/2013 2:00,58974
1/7/2013 3:00,57845
1/7/2013 4:00,57387
1/7/2013 5:00,57749
1/7/2013 6:00,58794
1/7/2013 7:00,60869
1/7/2013 8:00,64665
1/7/2013 9:00,71544
1/7/2013 10:00,75383
1/7/2013 11:00,74984
1/7/2013 12:00,74066
1/7/2013 13:00,70335
1/7/2013 14:00,72507
1/7/2013 15:00,73064
1/7/2013 16:00,72466
1/7/2013 17:00,73274
1/7/2013 18:00,73844
1/7/2013 19:00,73287
1/7/2013 20:00,71062
1/7/2013 21:00,68628
1/7/2013 22:00,66861
1/7/2013 23:00,67697
1/8/2013 0:00,69219
1/8/2013 1:00,66127
1/8/2013 2:00,63913
1/8/2013 3:00,62369
1/8/2013 4:00,61928
1/8/2013 5:00,62052
1/8/2013 6:00,62756
1/8/2013 7:00,64570
1/8/2013 8:00,67199
1/8/2013 9:00,72838
1/8/2013 10:00,75220
1/8/2013 11:00,74003
